uf,municipio,logradouro,complemento,bairro,telefone,id
PE,Cabo de Santo Agostinho,Rua Antônio Martins,82 -,Centro,(43) 3371-7473  (31) 2126-0820,1051536
PB,Joao Pessoa,Avenida Esperança,1194 -,Centro,(11) 47660611/20375782,1043381
PA,Ulianopolis,Avenida Presidente Vargas,57 - 2º Andar / Sala 9 - Galeria Valeska,Centro,(43) 3371-7473 (31) 2126-0820,23041
PB,Joao Pessoa,Rua Deputado Geraldo Mariz,853 -,Tambauzinho,(43) 3371-7473  (31) 2126-0820,1051685
PB,Sousa,Rua Félix Sucupira de Queiroga,16 - Salas 01 A 06,Gato Preto,43-33717473 31 21260820,1051612
PA,Tucurui,Rua Gamaliel,11 -,Jardim Marilucy,(94) 3787 1010/94-88087070,659199
PA,Tucurui,Avenida Raimundo Veridiano Cardoso,151-a -,Centro,(94) 3785-0622,20796
PA,Tucurui,Rua Raimundo Veridiano Cardoso,377  - Altos - Cohab,Bela Vista,(43) 3371-7473 (31) 2126-0820,4079
PE,Arcoverde,Avenida Dom Pedro Ii,868 -,Centro,(87) 3822-6970,20781
PA,Tailandia,Avenida Florianópolis,77 -,Novo,43-33717473 31 21260820,1051708
PB,Campina Grande,Rua Antonio Carvalho de Souza,295 -,Estação Velha,(83) 2101-8900,1047302
PB,Joao Pessoa,Rua Estela Bezerra da Silva,152 -,Mangabeira,(43) 3371-7473  (31) 2126-0820,7624
PB,Cajazeiras,Avenida Brasil,S/n - Rodovia 393,Jardim Adalgisa,(83)3531-3011,707563
PE,Recife,Av. Conde da Boa Vista,1650  -,Centro,81-3423-8822,2006148
PE,Recife,Avenida Engenheiro Abdias de Carvalho,1678 -,Madalena,(81) 999775456,658241
PE,Recife,Rua Joaquim Felipe,250 -,Boa Vista,(81) 3036-0001,141175
PE,Recife,Av. Guararapes,203 -,Santo Antônio,8134134611,1041178
PE,Recife,Rua Padre Bernardino Pessoa,512 -,Boa Viagem,81 32268858,1070473
PE,Recife,Rua Guilherme Pinto,114 -,Graças,(81) 34134611,659319
PA,Santarem,Rua Rosa Vermelha,335 -,Aeroporto Velho,(81) 9649.1504,658082
PE,Caruaru,Avenida Monte Cassino,200 -,Universitário,(81)3723-7777,11933
PE,Recife,Avenida Rui Barbosa,1426 -,Bairro das Graças,(81)3426-5026,1042476
PA,Tucurui,Rua A,422 -,Santa Mônica,43-33717473 31 21260820,1051620
PE,Recife,Rua São Miguel,176 -,Afogados,(11) 55864295,1073938
PE,Recife,Avenida Jean Emile Favre,422 -,Imbiribeira,(81) 3081-4444,658354
PE,Recife,Avenida João de Barros,561 -,Boa Vista,(81)32214423 (81)32225870,658085
PE,Recife,Avenida Governador Carlos de Lima Cavalcanti,110 -,Boa Vista,8134615584,1066459
PE,Recife,Rua do Riachuelo,529 -,Boa Vista,(81) 3222-6433,1036498
PA,Santarem,Travessa Luiz Barbosa,592 -,Laguinho,(93) 3523-5739,1036478
PE,Recife,Rua Gregório Júnior,261 -,Cordeiro,81 4009-3888,1055857
PE,Recife,Rua Jorge Tasso Neto,318 -,Apipucos,(81)4009-7777,659271
PE,Recife,Rua Demócrito de Souza Filho,452 -,Madalena,(81) 92610052,1069970
PA,Santarem,Av. Barão do Rio Branco,384  -,Centro,(93) 99122-3103,2006176
PE,Recife,Estrada do Bongi,425 -,Prado,(81) 2128-8000 / (81)2128-8036,659904
PE,Recife,Avenida Conde da Boa Vista,921 -,Boa Vista,(81) 2122 3500,657755
PE,Olinda,"Rodovia Pe 15, Km 3,6",S/n -,Ouro Preto,81 3429.4100,686122
PE,Recife,Estrada do Arraial,2740 -,Casa Amarela,(81) 3334-1160 e 3269-4925,659258
PE,Olinda,Rua Marfim,375 -,Jardim Atlântico,(81) 3431-4433,659916
PE,Olinda,"Av.sigismundo Gonçalves,",375 -,Carmo,(81)3429-4330,2571
PE,Recife,Rua Dom Bosco,1308 -,Boa Vista,(081) 21282555,658676
PE,Recife,Rua São Miguel,176 -,Afogados,11 55864291,1067754
PE,Recife,Avenida Conde da Boa Vista,1449 -,Boa Vista,43-33717473 31 21260820,2008421
PA,Ourilandia do Norte,Rodovia Vicinal Segurança,S/n -,Setor Independência,94 3434-1314,2006780
PE,Recife,Rua Dom Bosco,551 -,Centro,(81) 2129-5900,6043
PE,Recife,Avenida Conde da Boa Vista,"1410 - Andares: 2º, 3º, 4º e 5º",Boa Vista,081 2128-2555,1071856
PE,Recife,Rua do Riachuelo,178 -,Boa Vista,(81)3472-8100,9620
PE,Recife,Rua do Hospício,362 -,Boa Vista,(43) 3371-7473  (31) 2126-0820,1051590
PE,Recife,R. Doutor Tomé Dias,202 -,Casa Amarela,81 992610052,1047256
PA,Paragominas,Avenida Portugal,S/n -,Módulo Ii,(43) 3371-7473  (31) 2126-0820,1051699
PA,Santarem,"Av. São Sebastião, 979-a, Santa Clara.",979a -,Santa Clara,(93) 3523-1241,6214
PA,Rondon do Para,Rua Cesar Brasil,428 -,Centro,94-99143-1144,6387
PA,Maraba,Avenida Dois Mil,S/n - Quadra 91 Super Quadra 25 Lote 1,Belo Horizonte,(81)96491504,1065683
PA,Maraba,"Folha 26, Qd. 03",17 - (fl.26),Nova Marabá,(94) 3321-9127,20779
PE,Olinda,Rua do Bonfim,37 - Térreo,Carmo,(81) 3366-3696 / (81)3429-2388,657878
PA,Maraba,"Folha 32 Qd.16 Lote,",02 -,Nova Marabá,(91) 81007415,1043125
PA,Viseu,Travessa do Portão,S/n - Polo de Apoio Presencial de Viseu/pa,Piçarreira,(47) 3301-9132,1084001
PA,Maraba,Rua Ipanema,S/n -,Novo Horizonte,(94)33223232,6213
PE,Olinda,Avenida Getúlio Vargas,1128 -,Centro,044-30276360,1064473
PA,Paragominas,Rua Fernando Guilhon,293 -,Centro,(91) 3729-3773,16228
PE,Recife,Rua Doutor Tomé Dias,"181, 191 e 201 -",Casa Amarela,7932182130,1059424
PA,Capitao Poco,Travessa 25 de Março,S/n -,Centro,(91) 81495665,1068642
PE,Recife,Rua do Príncipe,526 - Campus Universitário-unicap,Boa Vista,(81) 2119 4110,657677
PA,Redencao,Avenida Brasil,2.019 -,Alto Paraná,(94) 3424-3070,1036590
PA,Redencao,Avenida Brasil,2019 -,Alto Paraná,(43) 3371-7473  (31) 2126-0820,1051591
PA,Capanema,Rua Cônego Inácio Magalhães,101 -,São Pio X,(91) 3462-6263,15951
PA,Itaituba,Rua Décima,254 -,Liberdade,(93) 3518-6540,1036612
PA,Capanema,Travessa Siqueira Mendes,115 -,São Pio X,(43) 3371-7473  (31) 2126-0820,1051544
PA,Itaituba,Avenida Fernando Guilhon,895 - 4ª Rua,Jardim das Araras,(93) 3518 4320,658971
PA,Maraba,Rua Norberto de Melo,1387 -,Centro,(43) 3371-7473  (31) 2126-0820,3995
PA,Parauapebas,Rua Sol Poente,152 -,Bairro da Paz,(43) 3371-7473  (31) 2126-0820,1051582
PA,Braganca,Rua Vereador Marcelino Castanho,S/nº -,Centro,(91)98889-6857,6368
PA,Capanema,Avenida Sebastião de Freitas,1500 -,São Pio X,(91) 3468-1754,20770
PA,Castanhal,Rodovia Br 316 Km 60,S/n -,Apeú,(91)3311-3400,659967
PA,Castanhal,Rua Coronel Leal,813 -,Centro,S/N,2004349
PA,Castanhal,Avenida Maximino Porpino da Silva,2002 -,Centro,(43) 3371-7473  (31) 2126-0820,5728
PA,Castanhal,Avenida Barão do Rio Branco,503 -,Nova Olinda,91 3711 1859,11104
PA,Itaituba,Avenida Transamazônica,479 -,Bela Vista,(43) 3371-7473  (31) 2126-0820,1051562
PA,Sao Felix do Xingu,Travessa Fernando Guilhon,51 -,Centro,43-33717473 31 21260820,3748
PA,Belem,Avenida Governador José Malcher,1963 -,Nazaré,(91) 4009-9100,1318
PA,Parauapebas,Rua A,560  -,Cidade Nova,94 98142-4378,16187
PA,Ananindeua,Travessa We 26,02 - Cidade Nova Iv,Coqueiro,08134134611,1071284
PA,Belem,Av. Tavares Bastos,1313 -,Marambaia,(91) 92203738 (91) 3348-4684,1061687
PA,Barcarena,Trav.silvério Sapateiro,4 - Quadra 303,Vila dos Cabanos,(91)37543508,2005926
PA,Belem,Avenida Serzedelo Corrêa,514 -,Batista Campos,(81)34134611,1065637
PA,Ananindeua,Travessa We 31,156 - Conjunto Cidade Nova V,Bairro do Coqueiro,(43) 3371-7473  (31) 2126-0820,2008516
PA,Belem,Avenida Almirante Barroso,1.121 -,Bairro Marco,(91)3349-6393,1036479
PA,Belem,Avenida Generalíssimo Deodoro,1680 -,Nazaré,(91) 2121-0323,6363
PA,Ananindeua,"Conjunto Cidade Nova Ii, We 21,",111 -,Coqueiro,S/N,2004225
PA,Belem,Avenida Governador José Malcher,1148 -,Nazaré,(91) 4005 5400,1000144
PA,Parauapebas,Rua D,468 - 1º Andar,Cidade Nova,(94) 3346-4100,35180
PA,Belem,Travessa Tupinambás,461 - Entre As Ruas Mundurucus e Pariquis,Batista Campos,(91)33236025,1042466
PA,Belem,Av. Serzedelo Correa,514 -,Batista Campos,9132120711,1043923
PA,Belem,Avenida Visconde de Souza Franco,72 -,Reduto,(91)32227560,1041237
PA,Belem,Rua Municipalidade,839 -,Reduto,(91) 32029000,658950
PA,Belem,Rua Gaspar Viana,794 - Colégio Santo Antônio,Campina,(43) 3371-7473  (31) 2126-0820,2008629
PA,Belem,Rodovia Augusto Montenegro,61 - Loteamento Morada Nova Ii - Q2,Coqueiro,(91) 3249-7277 / (91) 8899-6119,10230
PA,Conceicao do Araguaia,Rua Frei Antônio Salá,316 -,Centro,(43) 3371-7473  (31) 2126-0820,1051547
PA,Belem,Avenida Nazaré,1040 -,Nazaré,34-33198993,1056609
PA,Belem,Avenida Almirante Barroso,5569 -,Castanheira,(91) 3212-9275,9564
PA,Barcarena,Rua Eduardo Angelin,S/n - Quadra 284 - Lote 15,Vila dos Cabanos,(43) 3371-7473  (31) 2126-0820,1051526
PA,Belem,Rua dos Mundurucus,1427 - - de 1364/1365 A 1642/1643,Batista Campos,11-55864295,1073875
PA,Belem,Avenida Alcindo Cacela,1858 -,Nazaré,S/N,2004275
PA,Belem,Travessa São Pedro,417 -,Batista Campos,(43) 3371-7473  (31) 2126-0820,2008502
PA,Ananindeua,Travessa We-31,55 - (cj Cidade Nova V) - Até 1262 - Lado Par,Cidade Nova,(81)34134611,1065676
MT,Varzea Grande,Rua São Judas Tadeu,44 -,??gua Vermelha,43-33717473 31 21260820,24161
MT,Tangara da Serra,Avenida Mato Grosso,N.º 442 - W -,Centro,(65) 3326-3288,1059816
MT,Tangara da Serra,Rua Francisco José de Mendonça,121 N -,Jd. do Lago,(65)3682-4028,9656
MT,Tabapora,Rua Oscar Kunio Kawawani,310 - Sala 03,Centro,66-3557-1702,6351
MT,Tangara da Serra,Avenida Brasil,1521-s -,Vila Alta,(43) 3371-7473  (31) 2126-0820,7281
PA,Belem,Avenida Alcindo Cacela,287 - Bloco C - Térreo,Umarizal,(81) 9649.1504,657865
PA,Cameta,Travessa Enéas Martins,351 -,Centro,(43) 3371-7473  (31) 2126-0820,1051541
PA,Oriximina,Avenida Independência,2473 -,Centro,(43) 3371-7473  (31) 2126-0820,1051580
MT,Rondonopolis,Rua Rubem Braga,110 -,Jardim Atlantico,66 3422 5013,1059807
MT,Rondonopolis,Avenida Sothero Silva,429 - Polo - Rondonópolis,Vila Aurora I,(66) 3422-3802,1084558
MT,Rondonopolis,Rua Otávio Pitaluga,839 -,Centro,(66) 3422-0080,1051385
MT,Rondonopolis,Rua Arnaldo Estevão de Figueiredo,758 A - Polo de Apoio Presencial de Rondonópolis/mt,Centro,(47) 3301-9132,1083902
PA,Cameta,Travessa Sete de Setembro,315 -,Centro,91 - 3781-2580,15914
MT,Rondonopolis,Rua Floriano Peixoto,597 -,Centro,(66)34110500,1048259
MT,Varzea Grande,Rua Arthur Bernardes,S/n -,Ipase,(65)3363-1911 / (71) 3378-8151,659293
PA,Almeirim,Rua F Cesfa Vila Staff,172 - Distrito Monte Dourado,Almeirim,(43) 3371-7473  (31) 2126-0820,1051693
MT,Rondonopolis,"Av. Ary Coelho, ?? 829, Vila Birigui.",829 -,Vila Birigui,S/N,6943
MT,Rondonopolis,Rua Arnaldo Estevao de Figueiredo,758 - Letra A Terreo 1º 2º 3º Piso (parte Superior),Centro,(66) 3411.9461,1048198
MT,Sorriso,Rua Irmã Benedita,301 -,Centro,(66)9643-2969,12817
PA,Altamira,Rua Intendente Floriano,2337 -,Sudam I,93 3515-1235,2005904
MT,Rondonopolis,Avenida Ari Coelho,829 -,Cidade Salmem,(66) 3411 7600; (66) 9627 1977,658100
PA,Altamira,Rua Coronel José Porfírio,2235 -,São Sebastião,(93) 3515-2937,9952
MT,Rondonopolis,Avenida Lions Internacional,818 -,Vila Aurora Iii,66 3423 2121,1060537
MT,Rondonopolis,Avenida Sagrada Família,1700 -,Vila Aurora I,66-3422-5323,16097
PA,Jacunda,Rua Alacid Nunes,883 -,Centro,94 3345 1232,2003518
MT,Porto Alegre do Norte,Rua 20,"S/n - Lote 01, Qaudra 27",Loteamento Santos Dumont,(43) 3371-7473  (31) 2126-0820,2007025
MT,Porto dos Gauchos,Avenida Rio Grande do Sul,1017 -,Centro,66-3526-1018,6198
MT,Querencia,Avenida D. Quadra 16,S/n -,Nova Querência,(43) 3371-7473  (31) 2126-0820,6965
PA,Belem,Av. Generalíssimo Deodoro,1152 -,Bairro Nazaré,(91)3241-0170,9828
MT,Sorriso,Rua Tenente Lira,735 -,Centro,(66)34558026,2008254
MT,Juina,Avenida Gabriel Müller,S/n - Ajes - Faculdades do Vale do Juruena,Módulo I,(66)  3566 1875,659245
MT,Juina,Avenida Carmem Miranda,39 -,Módulo 2,(66)3566-3805,9728
MT,Sinop,Avenida das Palmeiras -430-centro.,430 -,Centro,(66) 3532-6111,2003495
PA,Altamira,Rua Sete de Setembro,S/n -,Centro,93 3502-2290,6338
MT,Sinop,Avenida Magda Cassia Pissinatti,69 -,Residencial Florença,(66) 3517 1320/ 35171301,658884
MT,Pontes e Lacerda,Rua Vereador Anibas Luiz de Souza,646 - Escola Municipal Sanária de Souza - Cx Postal 126,Jardim São Gabriel,(43) 3371-7473  (31) 2126-0820,1051587
MT,Sapezal,Rua do Cascudo,S/n -,Centro,43-33717473 31 21260820,3747
MT,Lucas do Rio Verde,Av. Angelo Antonio Dall Alba,86 -,Jardim Palmeira,6535495103,1067692
MT,Lucas do Rio Verde,Rua Getúlio Vargas,488 - e,Centro,65-3549-3484,6317
MT,Sinop,Rua das Avencas,200 - Polo - Sinop,Jardim Botânico,(66) 3531-2684,1084557
PA,Breves,Rua Antônio Fulgêncio da Silva,2532 -,Aeroporto,(43) 3371-7473  (31) 2126-0820,1051535
MT,Lucas do Rio Verde,Avenida Mato Grosso,906 S -,Alvorada,(66)99847500,1068648
MT,Guaranta do Norte,Rua Oitis,S/n -,Industrial,(66) 3552-2510,1056035
MT,Juara,Rua Nelson Aparecido Fragnan,S/n -,Jardim Universitário,(66) 3566-1875 // (41) 3339-7560,1065652
MT,Lucas do Rio Verde,Avenida Universitária,1000w -,Bandeirantes,(65)35497300,1033472
MT,Colniza,Avenida Taruma,233 -,Centro,(66)35662928,1068637
MT,Primavera do Leste,Avenida Tancredo Neves,450 -,Castelândia,(66)3498-2708,2005663
MT,Caceres,Rua Antonio João,76 -,Centro,(65)3223-0669,1068964
MT,Sinop,Avenida das Embaúbas,1757 - Sala 03,Setor Comercial,(66) 3532-5857,7590
MT,Juara,Rua Mogno,10 -,Tocaia Grande,43-33717473 31 21260820,1060391
MT,Barra do Garcas,"Av. Antônio Francisco Cortes, S/n, Cidade Universitária.",S/nº -,Cidade Universitária,(66)3405-5230,9114
MT,Barra do Garcas,Avenida Antonio Francisco Cortes,S/n -,Cidade Universitária,(66) 3402-3200 / (66) 3402-3209,658900
MT,Barra do Garcas,"Rua dos Garimpeiros, Qd 58, Lote 09",810 -,Centro,(43) 3371-7473  (31) 2126-0820,22453
MT,Jaciara,Rua Juruce,1712 -,Centro,(66)3461-3341,9936
MT,Agua Boa,Av. Planalto Esquina C/ Av. Universitária,S/n -,Cidade Universitária,(43) 3371-7473  (31) 2126-0820,4243
MT,Campo Verde,Avenida Santa Teresa,893 -,Jupiara,(43) 3371-7473  (31) 2126-0820,22456
MT,Alta Floresta,Rua e - 1 Setor e,122 - Escola Walt Disney,Centro,66 3521-6181,2006782
MS,Sonora,Rua Marcelo Miranda Soares,1062 -,Centro,6732543695,1059805
MS,Sete Quedas,Trabessa Tacuru,108 -,Centro,67 3479 1064,1059888
MS,Tres Lagoas,Rua Santa Luzia,313 - Escola Funlec,Jardim das Oliverias,(67)3929 9060,10598
MS,Tres Lagoas,Avenida Capitão Olinto Mancini,178 -,Centro,67 3522-0609,15947
MS,Tres Lagoas,Rua Santa Luzia,513 -,Jardim das Oliveiras,(43) 3371-7473  (31) 2126-0820,2008600
MS,Tres Lagoas,Rua Doutor Orestes Prata Tibery,57 -,Centro,43-33717473 31 21260820,1051709
MS,Tres Lagoas,Avenida Ponta Porã,2750 -,Distrito Industrial,(67)21056060,658213
MS,Rio Verde de Mato Grosso,Avenida Eurico Sebastião Ferreira,930 -,Centro,(43) 3371-7473  (31) 2126-0820,7222
MS,Nova Andradina,Av. Eurico Soares Andrade,461 -,Centro,(43) 3371-7473  (31) 2126-0820,2008436
MT,Campo Novo do Parecis,Avenida Brasil,S/nº -,Sede,(43) 3371-7473  (31) 2126-0820,3722
MS,Ponta Pora,Avenida Presidente Vargas,725 - Fac Magsul,Centro,(67)3431 6929,10513
MT,Canarana,Rua Ijuí,303 -,Centro,(43) 3371-7473  (31) 2126-0820,4275
MT,Juara,Rua São Paulo,58n -,Centro,66-3556-4931,6316
MS,Nioaque,Rua Quintino Bocaiúva,592 -,Centro,(43) 3371-7473 (31) 2126-0820,4116
MS,Ponta Pora,Rua Antônio João,1675 - Caixa Postal 310,Centro,(67) 3431 1002,687906
MS,Ponta Pora,Rua Calógeras,890 - - de 851/852 A 1289/1290,Centro,67 3437-9800,1060793
MS,Miranda,"Praça Agenor Carrilho,",233 -,Centro,67 32424083,1066298
MS,Miranda,Rua Afonso Pena,160 -,Centro,(43) 3371-7473  (31) 2126-0820,2008442
MS,Rio Verde de Mato Grosso,Rua São Sebastião,201 -,Vila Tiradentes,(67) 3292-1363,2005660
MS,Mundo Novo,Rua Tupinamba,606 -,Tapajos,44-99821464,1065254
MS,Ponta Pora,Rua Antônio João,1675 -,Centro,(43) 3371-7473  (31) 2126-0820,3169
MT,Cuiaba,Avenida Marechal Deodoro,1.290 - - de 950/951 A 2072/2073,Centro Norte,(65) 3025-3131,15988
MS,Ivinhema,Av Reynaldo  Massi,2723 -,Guiray,67 3442 4457,1059840
MS,Ivinhema,"Rua: André Molina. 264, Bairro Piravev.",264 -,Bairro Piravev,(43) 3371-7473 (31) 2126-0820,4138
MT,Cuiaba,Avenida Dom Aquino,38 -,Centro,(65) 3052-8120,658891
MT,Cuiaba,Rua São Benedito,893 -,Areão,(65)3623-1203,10736
MT,Cuiaba,Avenida Fernando Correa da Costa,265 - - Até 1123 - Lado ??mpar,Areão,19998332513,1062971
MT,Cuiaba,Rua Major Gama,745 -,Centro Sul,(65) 3324-2122,7483
MT,Cuiaba,Av. das Flores,75 -,Jardim Cuiabá,6536247544,1047174
MS,Navirai,Rua Nagasaki,15 -,Centro,43-33717473 31 21260820,2003139
MT,Cuiaba,Rua Pedro Oliveira Guimarães,50 -,Baú,(81)996491504,1074596
MT,Cuiaba,Rua Oswaldo da Silva Correia,621 -,Santa Marta,(65) 3322 3646,106572
MT,Nova Xavantina,Rua Santo Angelo,98 -,Centro,(66) 3438-2456,9939
MT,Cuiaba,Rua Treze de Junho,"207 - Galeria Gg, Salas 816 e 817",Centro Norte,11-2178-1410,2006315
MT,Cuiaba,Av. Rubens de Mendonça,3.300 -,Jardim Aclimação,31 21260807,4022
MT,Pontes e Lacerda,Avenida Florespina Azambuja,1155 -,Centro,(65) 3266-4368,1069486
MT,Cuiaba,Rua Trinta e Quatro,404 A -,Centro,(65)3664-3781,9601
MS,Jardim,Avenida Coronel Camisão,1150 -,Centro,(43) 3371-7473 (31) 2126-0820,4139
MS,Itaquirai,Rua das Flores,131 -,Jardim Primavera,(43) 3371-7473  (31) 2126-0820,2008464
MS,Deodapolis,Rua Jonas F de Araujo,451 -,Centro,67 3448 2551,1059839
MT,Cuiaba,Rua Professor Juscelino Reiners,36 -,Jardim Petrópolis,(66) 3023-1570,1061463
MT,Cuiaba,Rua Oswaldo da Silva Corrêa,621 -,Santa Marta,(65)3621-2000,9598
MT,Cuiaba,Av. Fernando Correa da Costa,265 -,Areao,(43) 3371-7473  (31) 2126-0820,2008625
MS,Dourados,Rua Manoel Santiago,1155 -,Vila Sao Luis,(43) 3371-7473  (31) 2126-0820,2008624
MS,Dourados,Rua Presidente Vargas,725 Bc -,Centro,(67) 3422-1290,9722
MS,Dourados,Avenida Weimar Gonçalves Torres,3929-a -,Jardim Caramuru,(43) 3371-7473  (31) 2126-0820,1051681
MS,Costa Rica,Rua Ambrosina Paes Coelho,1054 -,Centro,(67) 3247 1101,658350
MS,Maracaju,Rua Antonio Jose Ferreira,2520 -,Centro,67 3454 3396,1059860
MS,Dourados,Rua João Vicente Ferreira,2280 - - de 1959/1960 A 2869/2870,Vila Progresso,(67) 9243-4224,20823
MS,Maracaju,Avenida João Pedro Fernandes,3200 -,Cambaraí,(67) 9211-9923,2005661
MT,Cuiaba,Rua Major Gama,731 -,Porto,(65) 3321-4420,1051373
MS,Maracaju,Avenida João Pedro Fernandes,2605 -,Centro,(43) 3371-7473  (31) 2126-0820,4294
MS,Eldorado,Rua São Paulo,1066 -,Centro,(43) 3371-7473 (31) 2126-0820,4150
MS,Corumba,Rua Tiradentes,406 -,Centro,67 9209-3407,10432
MS,Campo Grande,Abrao Julio Rae,325 -,Monte Castelo,(67)3389-3389,10395
MS,Campo Grande,Rua Euclides da Cunha,877 -,Jardim dos Estados,(67)3326-5325,8343
MS,Corumba,Rua Cabral,71 -,Centro,41-32356650,20815
MS,Dourados,Rua Balbina de Matos,2121 -,Jardim,(67) 3411 4141,658024
MS,Dourados,Rua Manoel Santiago,1155 -,Vila São Luis,(31) 21260820,1042431
MS,Campo Grande,Rua 14 de Julho,3.114 -,Centro,11 5586 4291,1058920
MS,Campo Grande,Rua Guia Lopes,363 -,Amambaí,(67) 3043-1060,6329
MS,Campo Grande,Rua Afonso Pena,275 -,Amambai,(67)3384-6949,659019
MS,Campo Grande,Rua Ronaldo Monteiro,47 -,Centro,(67) 3027-1444,1036577
MS,Campo Grande,Rua Coronel Cacildo Arantes,322 -,Cachoeira Ii,(67) 3901-2878 / (67) 3901-2871,658237
MS,Corumba,Rua Cabral,938 -,Centro,(43) 3371-7473  (31) 2126-0820,4050
MS,Campo Grande,Rua Barão de Limeira,2068 -,Universitário,(43) 3371-7473  (31) 2126-0820,7116
MS,Chapadao do Sul,Rua Vinte e Oito,615 -,Centro,(43) 3371-7473  (31) 2126-0820,3726
MS,Rio Brilhante,Rua Juviano Medeiros,1700 -,Centro,67 3452 7104,1059833
MS,Cassilandia,Rua Dr. Manoel Thomaz da Silva,37 -,Centro,(43) 3371-7473 (31) 2126-0820,4089
MS,Bodoquena,Rua Silvio de Castro Cunha,507 -,Centro,(41)36222270,1071216
MS,Campo Grande,Rua Ceará,333 -,Miguel Couto,(43) 3371-7473 (31) 2126-0820,706710
MS,Campo Grande,Rua Abrão Júlio Rahe,325 - - Até 1010/1011,Centro,3389 3302,1056379
MS,Aquidauana,Rua Nelson Felicio dos Santos,300 -,Centro,67 32417033,1059856
MS,Bonito,Rua General Ozório,700 -,Centro,(43) 3371-7473 (31) 2126-0820,4081
MS,Bela Vista,Rua Antonio Joao,539 -,Centro,67 34391112,1060054
MS,Campo Grande,Rua Elpídio Belmontes de Barros,47 - Antiga Rua Oiapoque,Vila Palmira,(43) 3371-7473  (31) 2126-0820,7112
MG,Vicosa,Avenida Maria de Paula Santana,3.815 -,Silvestre,(31)38998000,699379
MS,Campo Grande,Avenida Fernando Correa da Costa,1.800 -,Vila Dr. João Rosa Pires,(67) 3316 6000 (67)3316-6007,1005082
MG,Varginha,Rua Professor Felipe Tiago Gomes,173 -,Vila Bueno,(35) 3690-8900; (61) 3340-3661,1051017
MS,Bataguassu,Rua Brasilandia,172 -,Centro,67 3541 2576,1059857
MS,Camapua,Av. Alvino Antonio Martins,1130 -,Vila Bairro Alto,(43) 3371-7473  (31) 2126-0820,2008498
MG,Visconde do Rio Branco,Av.mário Bouchardet,417 -,Jardim Alice,(31)34219186,1050097
MG,Varginha,Rua Professor Felipe Tiago Gomes,173 -,Vila Bueno,(35) 3690 8900,657994
MG,Varginha,Rua Francisco Limborco,149 -,Jardim Morada do Sol,(35) 3212-1321,1036652
MG,Unai,Rua Celina Lisboa Frederico,142 -,Centro,(38) 3677-4747; (61) 3340-3661,1051018
MG,Unai,Rua Celina Lisboa Frederico,142 -,Centro,(38) 3677-4747,659068
MS,Amambai,Rua Sete de Setembro,3768 -,Centro,(43) 3371-7473  (31) 2126-0820,3993
MG,Unai,Rua Vicente Rocha Costa,05 -,Centro,(38) 3676-1362,9687
MG,Uberlandia,Avenida Paes Leme,485 -,Osvaldo Rezende,(34)3229-4004 / (34)3229-0006,659966
MG,Uberlandia,Avenida Cipriano Del Fávaro,974 -,Centro,(34) 3210-4410,1036670
MG,Unai,Rua Eduardo Rodrigues Barbosa,180 -,Centro,(38) 3676 6222,658205
MG,Varginha,Avenida Coronel José Alves,256 -,Vila Pinto,3532195006,143236
MG,Uberlandia,Avenida Cipriano Del  Fávero,975 -,Centro,(34)3235-9903,1045328
MG,Uberlandia,Rua Bocaiúva,82 -,Morada da Colina,(034) 3254 1213,659486
MG,Uberlandia,Avenida Vasconcelos Costa,270 -,Martins,(34) 3291-2828,658510
MG,Vicosa,Rua Dona Gertrudes,234 -,Centro,(31) 3891-2667,1061227
MG,Uberlandia,Rua Wilson Pantaleao de Oliveira,108 -,Pacaembu,(43) 3371-7473  (31) 2126-0820,22498
MG,Uberaba,"Av. Leopoldino de Oliveira, 4245, Centro.",4245 -,Centro,(34) 3312-4068,6951
MG,Uberlandia,Av. Rondon Pacheco,2000 -,Lidice,34-33198804,1037433
MG,Uberaba,"Av. Nene Sabino, 1801, Santa Marta.",1.801 - Campus Universitário Ii,Universitário,(34) 3319-8800,657746
MG,Uberlandia,Avenida dos Vinhedos,1200 -,Morada da Colina,(34) 3292-1900,1003682
MG,Uba,R.lincoln Rodrigues da Costa,165 -,Boa Vista,32 88341401,1049909
MG,Uba,Rua Dr. Adjalme da Silva Botelho,20 -,Seminário,32 3539 5600,658428
MG,Uba,Avenida Raul Soares,35 -,Centro,3371-7473  (31) 2126-0820,8548
